lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
PIRAMAL,1.MTD,Renewal,Flow1(Auto),4.0,BRE1 completed,,673,
PIRAMAL,1.MTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,673,
KSF,1.MTD,Fresh,Flow1(Auto),11.0,Review submit,,672,
PYFL,2.LMTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,665,
MFL,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,664,
PYFL,1.MTD,Fresh,Flow2(Manual),1001.0,Unmapped,,664,
UCL,1.MTD,MicroML,Flow1(Auto),9.0,BRE2 completed,,663,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),14.0,Submit to LMS,,660,
PYFL,2.LMTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,658,
MFL,2.LMTD,Fresh,Flow2(Manual),8.0,KYC completed,,656,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),8.1,KYC completed,BRE2_FAILURE,656,48.1
PYFL,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,653,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),8.1,KYC completed,BRE2_FAILURE,647,43.4
PYFL,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,646,
KSF,1.MTD,Renewal,Flow2(Manual),6.0,Child_Lead_Created,,642,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),14.0,Submit to LMS,,642,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),11.0,Review submit,,641,
NACL,1.MTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,632,
FULLERTON,1.MTD,Fresh,Flow2(Manual),1002.0,Unmapped,,631,
PIRAMAL,2.LMTD,Renewal,Flow1(Auto),4.0,BRE1 completed,,630,
PIRAMAL,2.LMTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,630,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,628,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),7.1,Selfie uploaded,KYC_FAILED,627,15.0
FULLERTON,2.LMTD,Renewal,Flow2(Manual),9.0,BRE2 completed,,625,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),7.1,Selfie uploaded,KYC_FAILED,625,27.0
PYFL,2.LMTD,Fresh,Flow2(Manual),11.0,Review submit,,623,
PYFL,2.LMTD,Fresh,Flow2(Manual),13.0,Application submitted by user,,623,
KSF,2.LMTD,Fresh,Flow1(Auto),7.1,Selfie uploaded,LENDER_APP_CREATE_SUCCESS,622,16.3
UCL,1.MTD,MicroML,Flow1(Auto),10.0,Disbursal acc verified,,622,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),8.0,KYC completed,,622,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),15.0,Disbursed,,621,
FULLERTON,2.LMTD,Renewal,Flow2(Manual),10.0,Disbursal acc verified,,617,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,617,
MFL,2.LMTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,616,
MFL,2.LMTD,Renewal,Flow1(Auto),2.0,Workable leads,,616,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),14.0,Submit to LMS,,610,
PYFL,1.MTD,Renewal,Flow1(Auto),9.0,BRE2 completed,,608,
MFL,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,607,
PYFL,1.MTD,Renewal,Flow1(Auto),10.0,Disbursal acc verified,,605,
